sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_line,cell_type,assembly,supplementary_files_format_and_content,biosample,sra
placenta_villi_early_pregnancy_snatac_donor3_8w-atac-3_,,,,,,,"placenta villi, early pregnancy snATAC, donor3 [8w-atac-3]",GSM7882487,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882487,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882487/suppl/GSM7882487_placenta_10X_early3.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374049,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108835,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374049
placenta_villi_early_pregnancy_snatac_donor4_8w-atac-4_,,,,,,,"placenta villi, early pregnancy snATAC, donor4 [8w-atac-4]",GSM7882488,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882488,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882488/suppl/GSM7882488_placenta_10X_early4.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374047,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108834,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374047
placenta_villi_early_pregnancy_snatac_donor5_8w-atac-5_,,,,,,,"placenta villi, early pregnancy snATAC, donor5 [8w-atac-5]",GSM7882489,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882489,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882489/suppl/GSM7882489_placenta_10X_early5.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374041,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108833,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374041
placenta_villi_early_pregnancy_snatac_donor6_8w-atac-6_,,,,,,,"placenta villi, early pregnancy snATAC, donor6 [8w-atac-6]",GSM7882490,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882490,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882490/suppl/GSM7882490_placenta_10X_early6.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374043,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108832,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374043
placenta_villi_late_pregnancy_snrna_donor1_term-rna-1_,,,,,,,"placenta villi, late pregnancy snRNA, donor1 [term-rna-1]",GSM7882491,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882491,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882491/suppl/GSM7882491_placenta_10X_late1.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374042,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108831,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374042
placenta_villi_late_pregnancy_snrna_donor2_term-rna-2_,,,,,,,"placenta villi, late pregnancy snRNA, donor2 [term-rna-2]",GSM7882492,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882492,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882492/suppl/GSM7882492_placenta_10X_late2.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374044,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108830,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374044
placenta_villi_late_pregnancy_snrna_donor3_term-rna-3_,,,,,,,"placenta villi, late pregnancy snRNA, donor3 [term-rna-3]",GSM7882493,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882493,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882493/suppl/GSM7882493_placenta_10X_late3.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374048,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108829,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374048
placenta_villi_late_pregnancy_snrna_donor4_term-rna-4_,,,,,,,"placenta villi, late pregnancy snRNA, donor4 [term-rna-4]",GSM7882494,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882494,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882494/suppl/GSM7882494_placenta_10X_late4.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374050,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108828,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374050
placenta_villi_late_pregnancy_snrna_donor5_term-rna-5_,,,,,,,"placenta villi, late pregnancy snRNA, donor5 [term-rna-5]",GSM7882495,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882495,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882495/suppl/GSM7882495_placenta_10X_late5.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374051,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108827,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374051
placenta_villi_late_pregnancy_snrna_donor6_term-rna-6_,,,,,,,"placenta villi, late pregnancy snRNA, donor6 [term-rna-6]",GSM7882496,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,polyA RNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7882496,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882496/suppl/GSM7882496_placenta_10X_late6.filtered_feature_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374052,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108826,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374052
placenta_villi_late_pregnancy_snatac_donor1_term-atac-1_,,,,,,,"placenta villi, late pregnancy snATAC, donor1 [term-atac-1]",GSM7882497,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882497,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882497/suppl/GSM7882497_placenta_10X_late1.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374053,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108825,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374053
placenta_villi_late_pregnancy_snatac_donor2_term-atac-2_,,,,,,,"placenta villi, late pregnancy snATAC, donor2 [term-atac-2]",GSM7882498,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882498,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882498/suppl/GSM7882498_placenta_10X_late2.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374054,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108824,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374054
placenta_villi_late_pregnancy_snatac_donor3_term-atac-3_,,,,,,,"placenta villi, late pregnancy snATAC, donor3 [term-atac-3]",GSM7882499,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882499,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882499/suppl/GSM7882499_placenta_10X_late3.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374055,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108823,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374055
placenta_villi_late_pregnancy_snatac_donor4_term-atac-4_,,,,,,,"placenta villi, late pregnancy snATAC, donor4 [term-atac-4]",GSM7882500,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882500,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882500/suppl/GSM7882500_placenta_10X_late4.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374056,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108822,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374056
placenta_villi_late_pregnancy_snatac_donor5_term-atac-5_,,,,,,,"placenta villi, late pregnancy snATAC, donor5 [term-atac-5]",GSM7882501,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,healthy placenta,Homo sapiens,9606,,genomic DNA,"The villi were separated from the early or term placenta and cut up after removing the blood with phosphate buffer solution (PBS). Ice cold Nuclei EZ lysis buffer (Sigma-Aldrich, NUC-101) containing RNAase inhibitor (TaKaRa, 2313B) and protease inhibitor (Sigma-Aldrich, P8340) were added to resuspend the tissue and grinded with a dounce tissue grinder (Sigma-Aldrich, D8938). The lysates were bathed in ice and lysed twice. After washing with PBS, the nuclei were splited in half and filtered throu ...","We applied Cellranger v3.0.0 with gene annotation ensembl version 93 or Cellranger v7.0.1 with gene annotation gencode.v32 to process snRNA-seq raw data. For snATAC-seq raw data, we applied Cellranger-atac v1.1.0 or Cellranger-atac v1.2.0 to process the raw data. We used the resulting filtered_feature_bc_matrix directory from snRNA-seq data process step and fragments.tsv files from snATAC-seq data process step for next analysis., We used the Seurat v3.2.3 package for standard snRNA-seq upstream  ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM7882501,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882501/suppl/GSM7882501_placenta_10X_late5.filtered_peak_bc_matrix.tar.gz,"GSE247036, GSE247038",0,SRX22374057,,,hg38,Tab-separated values files and matrix files,https://www.ncbi.nlm.nih.gov/biosample/SAMN38108821,https://www.ncbi.nlm.nih.gov/sra?term=SRX22374057
