sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,age,tissue,library_strategy,genome_build,supplementary_files_format_and_content,biosample,sra
ea26,ChIP,Homo sapiens,SINGLE,SRA,SRR7641131,SRX4504638,EA26,GSM3318077,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318077,NONE,GSE79468,0,SRX4504638,endocrine,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762759,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504638
ea30,ChIP,Homo sapiens,SINGLE,SRA,SRR7641132,SRX4504639,EA30,GSM3318078,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318078,NONE,GSE79468,0,SRX4504639,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762758,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504639
ea32,ChIP,Homo sapiens,SINGLE,SRA,SRR7641133,SRX4504640,EA32,GSM3318079,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318079,NONE,GSE79468,0,SRX4504640,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762757,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504640
ea34,ChIP,Homo sapiens,SINGLE,SRA,SRR7641134,SRX4504641,EA34,GSM3318080,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318080,NONE,GSE79468,0,SRX4504641,duct,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762756,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504641
ea36,ChIP,Homo sapiens,SINGLE,SRA,SRR7641135,SRX4504642,EA36,GSM3318081,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318081,NONE,GSE79468,0,SRX4504642,duct,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762755,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504642
ea40,ChIP,Homo sapiens,SINGLE,SRA,SRR7641136,SRX4504643,EA40,GSM3318082,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318082,NONE,GSE79468,0,SRX4504643,acinar,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762754,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504643
ea42,ChIP,Homo sapiens,SINGLE,SRA,SRR7641137,SRX4504644,EA42,GSM3318083,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318083,NONE,GSE79468,0,SRX4504644,acinar,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762753,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504644
ea43,ChIP,Homo sapiens,SINGLE,SRA,SRR7641138,SRX4504645,EA43,GSM3318084,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318084,NONE,GSE79468,0,SRX4504645,duct,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762752,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504645
ea48,ChIP,Homo sapiens,SINGLE,SRA,SRR7641139,SRX4504646,EA48,GSM3318085,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318085,NONE,GSE79468,0,SRX4504646,endocrine,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762751,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504646
ea53,ChIP,Homo sapiens,SINGLE,SRA,SRR7641140,SRX4504647,EA53,GSM3318086,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318086,NONE,GSE79468,0,SRX4504647,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762750,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504647
ea54,ChIP,Homo sapiens,SINGLE,SRA,SRR7641141,SRX4504648,EA54,GSM3318087,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318087,NONE,GSE79468,0,SRX4504648,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762749,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504648
ea55,ChIP,Homo sapiens,SINGLE,SRA,SRR7641142,SRX4504649,EA55,GSM3318088,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318088,NONE,GSE79468,0,SRX4504649,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762748,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504649
ea56,ChIP,Homo sapiens,SINGLE,SRA,SRR7641143,SRX4504650,EA56,GSM3318089,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318089,NONE,GSE79468,0,SRX4504650,duct,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762747,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504650
ea62,ChIP,Homo sapiens,SINGLE,SRA,SRR7641144,SRX4504651,EA62,GSM3318090,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318090,NONE,GSE79468,0,SRX4504651,acinar,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762746,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504651
ea64,ChIP,Homo sapiens,SINGLE,SRA,SRR7641145,SRX4504652,EA64,GSM3318091,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318091,NONE,GSE79468,0,SRX4504652,acinar,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762745,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504652
ea68,ChIP,Homo sapiens,SINGLE,SRA,SRR7641146,SRX4504653,EA68,GSM3318092,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318092,NONE,GSE79468,0,SRX4504653,endocrine,adult,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762744,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504653
ea70,ChIP,Homo sapiens,SINGLE,SRA,SRR7641147,SRX4504654,EA70,GSM3318093,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318093,NONE,GSE79468,0,SRX4504654,endocrine,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762743,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504654
ea72,ChIP,Homo sapiens,SINGLE,SRA,SRR7641148,SRX4504655,EA72,GSM3318094,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318094,NONE,GSE79468,0,SRX4504655,endocrine,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762742,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504655
ea74,ChIP,Homo sapiens,SINGLE,SRA,SRR7641149,SRX4504656,EA74,GSM3318095,Public on Aug 21 2018,Aug 03 2018,Aug 21 2018,SRA,1,Pancreas,Homo sapiens,9606,genomic DNA,Illumina HiSeq,"reads were aligned to hg19 using Bowtie, genome segmentation was performed using ChromHMM as described in Ernst and Kellis, 2012 Nature Methods",GPL11154,"Seung,,Kim",seungkim@stanford.edu,Seung Kim Lab,Developmental Biology,Stanford University,279 Campus Dr B303,Stanford,CA,94305,USA,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,GSM3318095,NONE,GSE79468,0,SRX4504656,endocrine,juvenile,,,hg19,BED file includes genome segmentation annotations based on the ChIP-Seq data and Chrom HMM analysis,https://www.ncbi.nlm.nih.gov/biosample/SAMN09762741,https://www.ncbi.nlm.nih.gov/sra?term=SRX4504656
