sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,group,brain_region,tissue,age_of_death,sex,assembly,supplementary_files_format_and_content,biosample,sra
bb4_rmtg_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163200,SRX17174356,BB4_RMTG_G_ATAC,GSM6502826,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Rostromedial Tegmental Nucl,Homo sapiens,9606,genomic DNA,"glia_RMTG-includes-blacklisted-regions_peaks.narrowPeak, glia_RMTG.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502826,NONE,"GSE211822, GSE211826",0,SRX17174356,non-neuron,RMTG,Midbrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444906,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174356
bb5_pvpc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163201,SRX17174357,BB5_PVPC_G_ATAC,GSM6502827,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"glia_PVPC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502827,NONE,"GSE211822, GSE211826",0,SRX17174357,non-neuron,PVPC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444909,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174357
bb5_pvpc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163202,SRX17174358,BB5_PVPC_N_ATAC,GSM6502828,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVPC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502828,NONE,"GSE211822, GSE211826",0,SRX17174358,neuron,PVPC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444912,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174358
bb4_vlpfc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163203,SRX17174359,BB4_VLPFC_G_ATAC,GSM6502829,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"glia_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, glia_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502829,NONE,"GSE211822, GSE211826",0,SRX17174359,non-neuron,VLPFC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444913,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174359
bb4_vlpfc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163204,SRX17174360,BB4_VLPFC_N_ATAC,GSM6502830,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502830,NONE,"GSE211822, GSE211826",0,SRX17174360,neuron,VLPFC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444915,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174360
bb6_rmtg_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163205,SRX17174361,BB6_RMTG_G_ATAC,GSM6502831,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Rostromedial Tegmental Nucl,Homo sapiens,9606,genomic DNA,"glia_RMTG-includes-blacklisted-regions_peaks.narrowPeak, glia_RMTG.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502831,NONE,"GSE211822, GSE211826",0,SRX17174361,non-neuron,RMTG,Midbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444918,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174361
bb6_rmtg_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163206,SRX17174362,BB6_RMTG_N_ATAC,GSM6502832,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Rostromedial Tegmental Nucl,Homo sapiens,9606,genomic DNA,"neuron_RMTG-includes-blacklisted-regions_peaks.narrowPeak, neuron_RMTG.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502832,NONE,"GSE211822, GSE211826",0,SRX17174362,neuron,RMTG,Midbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444920,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174362
bb6_vlpfc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163207,SRX17174363,BB6_VLPFC_G_ATAC,GSM6502833,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"glia_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, glia_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502833,NONE,"GSE211822, GSE211826",0,SRX17174363,non-neuron,VLPFC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444922,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174363
bb6_vlpfc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163208,SRX17174364,BB6_VLPFC_N_ATAC,GSM6502834,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventrolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_VLPFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_VLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502834,NONE,"GSE211822, GSE211826",0,SRX17174364,neuron,VLPFC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444924,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174364
bb3_crblm_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163209,SRX17174365,BB3_CRBLM_G_ATAC,GSM6502835,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"glia_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, glia_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502835,NONE,"GSE211822, GSE211826",0,SRX17174365,non-neuron,CRBLM,Hindbrain,20,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444926,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174365
bb3_crblm_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163210,SRX17174366,BB3_CRBLM_N_ATAC,GSM6502836,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"neuron_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, neuron_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502836,NONE,"GSE211822, GSE211826",0,SRX17174366,neuron,CRBLM,Hindbrain,20,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444928,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174366
bb4_vta_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163211,SRX17174367,BB4_VTA_N_ATAC,GSM6502837,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventral Tegmental Area,Homo sapiens,9606,genomic DNA,"neuron_VTA-includes-blacklisted-regions_peaks.narrowPeak, neuron_VTA.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502837,NONE,"GSE211822, GSE211826",0,SRX17174367,neuron,VTA,Midbrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444930,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174367
bb4_crblm_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163212,SRX17174368,BB4_CRBLM_G_ATAC,GSM6502838,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"glia_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, glia_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502838,NONE,"GSE211822, GSE211826",0,SRX17174368,non-neuron,CRBLM,Hindbrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444932,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174368
bb5_nac_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163213,SRX17174369,BB5_NAC_G_ATAC,GSM6502839,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Nucleus Accumbens,Homo sapiens,9606,genomic DNA,"glia_NAC-includes-blacklisted-regions_peaks.narrowPeak, glia_NAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502839,NONE,"GSE211822, GSE211826",0,SRX17174369,non-neuron,NAC,BasalGanglia,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444934,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174369
bb5_nac_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163214,SRX17174370,BB5_NAC_N_ATAC,GSM6502840,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Nucleus Accumbens,Homo sapiens,9606,genomic DNA,"neuron_NAC-includes-blacklisted-regions_peaks.narrowPeak, neuron_NAC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502840,NONE,"GSE211822, GSE211826",0,SRX17174370,neuron,NAC,BasalGanglia,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444936,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174370
bb6_vta_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163215,SRX17174371,BB6_VTA_G_ATAC,GSM6502841,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Ventral Tegmental Area,Homo sapiens,9606,genomic DNA,"glia_VTA-includes-blacklisted-regions_peaks.narrowPeak, glia_VTA.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502841,NONE,"GSE211822, GSE211826",0,SRX17174371,non-neuron,VTA,Midbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444938,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174371
bb6_crblm_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163216,SRX17174276,BB6_CRBLM_G_ATAC,GSM6502842,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"glia_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, glia_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502842,NONE,"GSE211822, GSE211826",0,SRX17174276,non-neuron,CRBLM,Hindbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30444939,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174276
bb6_crblm_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163217,SRX17174277,BB6_CRBLM_N_ATAC,GSM6502843,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Cerebellum,Homo sapiens,9606,genomic DNA,"neuron_CRBLM-includes-blacklisted-regions_peaks.narrowPeak, neuron_CRBLM.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502843,NONE,"GSE211822, GSE211826",0,SRX17174277,neuron,CRBLM,Hindbrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445045,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174277
bb4_ofc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163218,SRX17174278,BB4_OFC_G_ATAC,GSM6502844,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"glia_OFC-includes-blacklisted-regions_peaks.narrowPeak, glia_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502844,NONE,"GSE211822, GSE211826",0,SRX17174278,non-neuron,OFC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445046,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174278
bb4_ofc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163219,SRX17174279,BB4_OFC_N_ATAC,GSM6502845,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_OFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502845,NONE,"GSE211822, GSE211826",0,SRX17174279,neuron,OFC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445047,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174279
bb6_ofc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163220,SRX17174280,BB6_OFC_G_ATAC,GSM6502846,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"glia_OFC-includes-blacklisted-regions_peaks.narrowPeak, glia_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502846,NONE,"GSE211822, GSE211826",0,SRX17174280,non-neuron,OFC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445048,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174280
bb6_ofc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163221,SRX17174281,BB6_OFC_N_ATAC,GSM6502847,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Orbital Frontal Cortex,Homo sapiens,9606,genomic DNA,"neuron_OFC-includes-blacklisted-regions_peaks.narrowPeak, neuron_OFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502847,NONE,"GSE211822, GSE211826",0,SRX17174281,neuron,OFC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445049,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174281
bb4_pvpc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163222,SRX17174282,BB4_PVPC_G_ATAC,GSM6502848,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"glia_PVPC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502848,NONE,"GSE211822, GSE211826",0,SRX17174282,non-neuron,PVPC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445050,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174282
bb4_pvpc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163223,SRX17174283,BB4_PVPC_N_ATAC,GSM6502849,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVPC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502849,NONE,"GSE211822, GSE211826",0,SRX17174283,neuron,PVPC,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445051,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174283
bb5_drn_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163224,SRX17174284,BB5_DRN_G_ATAC,GSM6502850,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Dorsal Raphe Nucleus,Homo sapiens,9606,genomic DNA,"glia_DRN-includes-blacklisted-regions_peaks.narrowPeak, glia_DRN.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502850,NONE,"GSE211822, GSE211826",0,SRX17174284,non-neuron,DRN,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445052,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174284
bb5_drn_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163225,SRX17174285,BB5_DRN_N_ATAC,GSM6502851,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Dorsal Raphe Nucleus,Homo sapiens,9606,genomic DNA,"neuron_DRN-includes-blacklisted-regions_peaks.narrowPeak, neuron_DRN.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502851,NONE,"GSE211822, GSE211826",0,SRX17174285,neuron,DRN,Midbrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445092,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174285
bb5_cn_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163226,SRX17174286,BB5_CN_G_ATAC,GSM6502852,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Caudate Nucleus,Homo sapiens,9606,genomic DNA,"glia_CN-includes-blacklisted-regions_peaks.narrowPeak, glia_CN.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502852,NONE,"GSE211822, GSE211826",0,SRX17174286,non-neuron,CN,BasalGanglia,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445093,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174286
bb5_cn_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163227,SRX17174287,BB5_CN_N_ATAC,GSM6502853,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Caudate Nucleus,Homo sapiens,9606,genomic DNA,"neuron_CN-includes-blacklisted-regions_peaks.narrowPeak, neuron_CN.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502853,NONE,"GSE211822, GSE211826",0,SRX17174287,neuron,CN,BasalGanglia,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445094,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174287
bb4_amy_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163228,SRX17174288,BB4_AMY_G_ATAC,GSM6502854,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Amygdaloid Complex,Homo sapiens,9606,genomic DNA,"glia_AMY-includes-blacklisted-regions_peaks.narrowPeak, glia_AMY.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502854,NONE,"GSE211822, GSE211826",0,SRX17174288,non-neuron,AMY,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445095,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174288
bb4_amy_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163229,SRX17174289,BB4_AMY_N_ATAC,GSM6502855,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Amygdaloid Complex,Homo sapiens,9606,genomic DNA,"neuron_AMY-includes-blacklisted-regions_peaks.narrowPeak, neuron_AMY.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502855,NONE,"GSE211822, GSE211826",0,SRX17174289,neuron,AMY,Forebrain,30,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445096,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174289
bb6_pvpc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163230,SRX17174290,BB6_PVPC_G_ATAC,GSM6502856,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"glia_PVPC-includes-blacklisted-regions_peaks.narrowPeak, glia_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502856,NONE,"GSE211822, GSE211826",0,SRX17174290,non-neuron,PVPC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445097,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174290
bb6_pvpc_n_atac,other,Homo sapiens,PAIRED,SRA,SRR21163231,SRX17174291,BB6_PVPC_N_ATAC,GSM6502857,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Posteroventral (Inferior) Parietal Cortex,Homo sapiens,9606,genomic DNA,"neuron_PVPC-includes-blacklisted-regions_peaks.narrowPeak, neuron_PVPC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502857,NONE,"GSE211822, GSE211826",0,SRX17174291,neuron,PVPC,Forebrain,39,Female,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445098,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174291
bb5_dlpfc_g_atac,other,Homo sapiens,PAIRED,SRA,SRR21163232,SRX17174292,BB5_DLPFC_G_ATAC,GSM6502858,Public on Aug 25 2022,Aug 22 2022,Oct 27 2022,SRA,1,Dorsolateral Prefrontal Cortex,Homo sapiens,9606,genomic DNA,"glia_DLPFC-includes-blacklisted-regions_peaks.narrowPeak, glia_DLPFC.bw",GPL20301,"Panos,,Roussos",panagiotis.roussos@mssm.edu,Icahn school of medicine at mount sinai,1470 madison ave,New York,NY,10029,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSM6502858,NONE,"GSE211822, GSE211826",0,SRX17174292,non-neuron,DLPFC,Forebrain,34,Male,hg38,"bigWig, narrowPeak",https://www.ncbi.nlm.nih.gov/biosample/SAMN30445099,https://www.ncbi.nlm.nih.gov/sra?term=SRX17174292
