sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,assembly,biosample,sra
donor_young-1_timepoint2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mitochondrial_dna_sample_6,,,,,,,"Donor Young-1, Timepoint2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mitochondrial DNA, sample 6",GSM6774916,Public on Nov 18 2023,Dec 01 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 6): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6774916,NONE,"GSE219015, GSE219167",0,SRX18452678,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31975033,https://www.ncbi.nlm.nih.gov/sra?term=SRX18452678
donor_young-2_bmmcs_mrna-derived_cdna_sample_7,,,,,,,"Donor Young-2, BMMCs, mRNA-derived cDNA, sample 7",GSM6779130,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 7): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6779130,NONE,"GSE219015, GSE219248",0,SRX18472573,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998846,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472573
donor_young-2_bmmcs_atac_sample_7,,,,,,,"Donor Young-2, BMMCs, ATAC, sample 7",GSM6779131,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 7): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6779131,NONE,"GSE219015, GSE219248",0,SRX18472574,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998845,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472574
donor_young-2_bmmcs_mitochondrial_dna__sample_7,,,,,,,"Donor Young-2, BMMCs, mitochondrial DNA , sample 7",GSM6779132,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 7): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6779132,NONE,"GSE219015, GSE219248",0,SRX18472575,Bone Marrow,Bone Marrow Mononuclear Cells (BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998844,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472575
donor_young-2_hspc_or_cd34_enriched_cells_from_bmmc_mrna-derived_cdna_sample_8,,,,,,,"Donor Young-2, HSPC or CD34 enriched cells from BMMC, mRNA-derived cDNA, sample 8",GSM6779133,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 8): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6779133,NONE,"GSE219015, GSE219248",0,SRX18472576,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998843,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472576
donor_young-2_hspc_or_cd34_enriched_cells_from_bmmc_atac_sample_8,,,,,,,"Donor Young-2, HSPC or CD34 enriched cells from BMMC, ATAC, sample 8",GSM6779134,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 8): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6779134,NONE,"GSE219015, GSE219248",0,SRX18472577,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998842,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472577
donor_young-2_hspc_or_cd34_enriched_cells_from_bmmc_mitochondrial_dna_sample_8,,,,,,,"Donor Young-2, HSPC or CD34 enriched cells from BMMC, mitochondrial DNA, sample 8",GSM6779135,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 8): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6779135,NONE,"GSE219015, GSE219248",0,SRX18472578,Bone Marrow,Hematopoietic Stem and progenitors (HSPC or CD34 enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998841,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472578
donor_young-2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mrna-derived_cdna_sample_9,,,,,,,"Donor Young-2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mRNA-derived cDNA, sample 9",GSM6779136,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,polyA RNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...",3' mRNA library (Cell barcodes are matchable with ATAC and mtDNA lib in sample 9): read1 (1-28nt) file contains cell barcode and UMI; read2 file contains transcript.,GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM6779136,NONE,"GSE219015, GSE219248",0,SRX18472579,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998840,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472579
donor_young-2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_atac_sample_9,,,,,,,"Donor Young-2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, ATAC, sample 9",GSM6779137,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","ATAC library (Cell barcodes are matchable with mRNA and mtDNA lib in sample 9): read1 file contains one end of accessible region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of accessible region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic single cell,ATAC-seq,GSM6779137,NONE,"GSE219015, GSE219248",0,SRX18472580,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998839,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472580
donor_young-2_hsc_or_cd34+cd45ra-cd90+_enriched_cells_from_bmmc_mitochondrial_dna_sample_9,,,,,,,"Donor Young-2, HSC or CD34+CD45RA-CD90+ enriched cells from BMMC, mitochondrial DNA, sample 9",GSM6779138,Public on Nov 18 2023,Dec 02 2022,Nov 18 2023,SRA,1,Bone Marrow,Homo sapiens,9606,genomic DNA,"Bone marrow was collected from healthy young or aged donors. Bone marrow aspirate was diluted with an equal volume of Wash Buffer (PBS, 2% FBS, 1mM EDTA). Ficoll medium was added to SepMateTM (Catalog #85460) tubes and then the diluted bone marrow sample was layered on top followed by centrifuging at 1200 g for 20 minutes at room temperature. The top layer, containing the mononuclear cells, was transferred to a new tube, which was then filled up by Wash Buffer. The mononuclear cells were centrif ...","mtDNA library (Cell barcodes are matchable with mRNA and ATAC lib in sample 9): read1 file contains one end of mitochondrial genomic region; i5 file (1-24) contains cell barcodes, read2 file contains the other end of mitochondrial genomic region.",GPL24676,"Chen,,Weng",cweng@wi.mit.edu,Vijay Sankaran lab and Jonathan Weissman lab,Genetics,Broad Institute and Whitehead Institute,"415 Main St, Cambridge",Boston,OH,02139,USA,Illumina NovaSeq 6000,other,genomic,OTHER,GSM6779138,NONE,"GSE219015, GSE219248",0,SRX18472581,Bone Marrow,Hematopoietic Stem cells (HSC or CD34+CD45RA-CD90+ enriched cells from BMMCs),hg38,https://www.ncbi.nlm.nih.gov/biosample/SAMN31998838,https://www.ncbi.nlm.nih.gov/sra?term=SRX18472581
