sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,donor,cell_type,time,assembly,supplementary_files_format_and_content,biosample,sra
day0-30min-bc_b_rna-seq_,,,,,,,Day0-30min-BC_B (RNA-seq),GSM6764971,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764971,NONE,"GSE219011, GSE219012",0,SRX18415727,Peripheral blood,B,B-cell,Day0-30min,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929489,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415727
day0-2h30-bc_a_rna-seq_,,,,,,,Day0-2h30-BC_A (RNA-seq),GSM6764972,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764972,NONE,"GSE219011, GSE219012",0,SRX18415728,Peripheral blood,A,B-cell,Day0-2h30,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929488,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415728
day0-2h30-bc_b_rna-seq_,,,,,,,Day0-2h30-BC_B (RNA-seq),GSM6764973,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764973,NONE,"GSE219011, GSE219012",0,SRX18415729,Peripheral blood,B,B-cell,Day0-2h30,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929487,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415729
day0-6h-bc_a_rna-seq_,,,,,,,Day0-6h-BC_A (RNA-seq),GSM6764974,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764974,NONE,"GSE219011, GSE219012",0,SRX18415730,Peripheral blood,A,B-cell,Day0-6h,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929486,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415730
day0-6h-bc_b_rna-seq_,,,,,,,Day0-6h-BC_B (RNA-seq),GSM6764975,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764975,NONE,"GSE219011, GSE219012",0,SRX18415731,Peripheral blood,B,B-cell,Day0-6h,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929485,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415731
day0-12h-bc_a_rna-seq_,,,,,,,Day0-12h-BC_A (RNA-seq),GSM6764976,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764976,NONE,"GSE219011, GSE219012",0,SRX18415732,Peripheral blood,A,B-cell,Day0-12h,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929484,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415732
day0-12h-bc_b_rna-seq_,,,,,,,Day0-12h-BC_B (RNA-seq),GSM6764977,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764977,NONE,"GSE219011, GSE219012",0,SRX18415733,Peripheral blood,B,B-cell,Day0-12h,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929483,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415733
day1bc_a_rna-seq_,,,,,,,Day1BC_A (RNA-seq),GSM6764978,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 0 to day 3, B cells were cultured in 24-well plates at 2.5 × 10^5/ml with IL-2 (20 U/ml), IL-21 (50 ng/ml), and F(ab`)2 goat anti-human IgM and IgG (2 mg/ml) on gamma-irradiated CD40L-expressing L cells (6.25 × 10^4/well).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764978,NONE,"GSE219011, GSE219012",0,SRX18415734,Peripheral blood,A,B-cell,Day1,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929482,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415734
day3pb_a_rna-seq_,,,,,,,Day3PB_A (RNA-seq),GSM6764979,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764979,NONE,"GSE219011, GSE219012",0,SRX18415735,Peripheral blood,A,Plasmablast,Day3,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929481,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415735
day3pb_b_rna-seq_,,,,,,,Day3PB_B (RNA-seq),GSM6764980,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764980,NONE,"GSE219011, GSE219012",0,SRX18415736,Peripheral blood,B,Plasmablast,Day3,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929480,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415736
day3pb_c_rna-seq_,,,,,,,Day3PB_C (RNA-seq),GSM6764981,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 3 to day 6, at day 3, cells were detached from the CD40L L cell layer and reseeded at 1 × 10^5/ml in media supplemented with IL-2 (20 U/ml) and IL-21 (50 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764981,NONE,"GSE219011, GSE219012",0,SRX18415737,Peripheral blood,C,Plasmablast,Day3,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929479,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415737
day6pb_a_rna-seq_,,,,,,,Day6PB_A (RNA-seq),GSM6764982,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764982,NONE,"GSE219011, GSE219012",0,SRX18415738,Peripheral blood,A,Plasmablast,Day6,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929478,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415738
day6pb_b_rna-seq_,,,,,,,Day6PB_B (RNA-seq),GSM6764983,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764983,NONE,"GSE219011, GSE219012",0,SRX18415739,Peripheral blood,B,Plasmablast,Day6,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929477,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415739
day6pb_c_rna-seq_,,,,,,,Day6PB_C (RNA-seq),GSM6764984,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764984,NONE,"GSE219011, GSE219012",0,SRX18415740,Peripheral blood,C,Plasmablast,Day6,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929476,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415740
day10pc_a_rna-seq_,,,,,,,Day10PC_A (RNA-seq),GSM6764985,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764985,NONE,"GSE219011, GSE219012",0,SRX18415741,Peripheral blood,A,Plasmacell,Day10,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929475,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415741
day10pc_c_rna-seq_,,,,,,,Day10PC_C (RNA-seq),GSM6764986,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764986,NONE,"GSE219011, GSE219012",0,SRX18415742,Peripheral blood,C,Plasmacell,Day10,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929474,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415742
day13pc_a_rna-seq_,,,,,,,Day13PC_A (RNA-seq),GSM6764987,Public on Sep 21 2023,Nov 29 2022,Sep 21 2023,SRA,1,Peripheral blood,Homo sapiens,9606,"For day 6 to day 13, at day 6, cells were harvested and seeded at 1 × 10^6/ml in media supplemented with IL-6 (10 ng/ml), IL-21 (10 ng/ml), GSI (100 nM), and multimeric APRIL (100 ng/ml).",total RNA,"RNA was extracted with TRIzol (Invitrogen) then subjected to DNAseI treatment (DNAfree, Ambion)., Sequencing libraries were generated with a TruSeq stranded total RNA human/mouse/rat kit (Illumina).","The fastq files were assessed for initial quality using FastQC v0.11.8, trimmed for adapter sequences using TrimGalore v0.6.0  and aligned to GRCh38.p13 (Gencode release 35) with STAR aligner (v2.6.0c) using twopassMode., Transcript abundance was estimated using RSEM v1.3.0 and imported into R v3.5.1 using txImport v1.10.1 and then processed using DESeq2 v1.22.2, generating VST transformed data.",GPL18573,"Matthew,Anthony,Care",m.a.care@leeds.ac.uk,Bioinformatics Group,School of Molecular and Cellular Biology,The University of Leeds,Woodhouse Lane,Leeds,West Yorkshire,LS29JT,United Kingdom,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSM6764987,NONE,"GSE219011, GSE219012",0,SRX18415743,Peripheral blood,A,Plasmacell,Day13,GRCh38.p13 (Gencode release 35),tab-delimited text file with DESeq2 VST log2 values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN31929473,https://www.ncbi.nlm.nih.gov/sra?term=SRX18415743
