sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_relation,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,patient,condition,tissue,tissue_source,project,raw_data_location,raw_data_id,assay,library_strategy,genome_build
bukmap_20200211c_snare2-ac,,,,,,,BUKMAP_20200211C_SNARE2-AC,GSM5554428,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206834,NONE,"GSE183273, GSE183279",0,GSM5554428,3535,Reference,Kidney Medulla,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM924.ZWZB.253,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211d_snare2-r,,,,,,,BUKMAP_20200211D_SNARE2-R,GSM5554429,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206786,NONE,"GSE183273, GSE183279",0,GSM5554429,3535,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM438.DJST.426,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211d_snare2-ac,,,,,,,BUKMAP_20200211D_SNARE2-AC,GSM5554430,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206787,NONE,"GSE183273, GSE183279",0,GSM5554430,3535,Reference,Kidney Cortex,Nephrectomy,HuBMAP,portal.hubmapconsortium.org,HBM824.VTFH.778,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211e_snare2-r,,,,,,,BUKMAP_20200211E_SNARE2-R,GSM5554431,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206788,NONE,"GSE183273, GSE183279",0,GSM5554431,3505,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM352.SGKR.368,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211e_snare2-ac,,,,,,,BUKMAP_20200211E_SNARE2-AC,GSM5554432,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206789,NONE,"GSE183273, GSE183279",0,GSM5554432,3505,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM488.BZKH.626,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211f_snare2-r,,,,,,,BUKMAP_20200211F_SNARE2-R,GSM5554433,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206790,NONE,"GSE183273, GSE183279",0,GSM5554433,3499,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM386.ZDSD.662,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211f_snare2-ac,,,,,,,BUKMAP_20200211F_SNARE2-AC,GSM5554434,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206791,NONE,"GSE183273, GSE183279",0,GSM5554434,3499,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM927.BLXL.762,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211g_snare2-r,,,,,,,BUKMAP_20200211G_SNARE2-R,GSM5554435,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206792,NONE,"GSE183273, GSE183279",0,GSM5554435,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM985.LKVT.486,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211g_snare2-ac,,,,,,,BUKMAP_20200211G_SNARE2-AC,GSM5554436,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206793,NONE,"GSE183273, GSE183279",0,GSM5554436,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM444.TDFC.483,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211h_snare2-r,,,,,,,BUKMAP_20200211H_SNARE2-R,GSM5554437,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206794,NONE,"GSE183273, GSE183279",0,GSM5554437,3510,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM676.MZKF.566,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
bukmap_20200211h_snare2-ac,,,,,,,BUKMAP_20200211H_SNARE2-AC,GSM5554438,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21206795,NONE,"GSE183273, GSE183279",0,GSM5554438,3510,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM895.ZNHJ.686,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38)
