sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_treatment_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,subject_status,tissue,cell_type,activation,chip_antibody,genome_build,supplementary_files_format_and_content,biosample,sra
atac-seq_naïve_rep1,,,,,,,ATAC-seq_Naïve_rep1,GSM3258574,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4370,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258574,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258574/suppl/GSM3258574_Naive_T_082614_ATAC_4.csv.gz,"GSE116696, GSE116698",0,SRX4345367,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621059,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345367
atac-seq_naïve_rep2,,,,,,,ATAC-seq_Naïve_rep2,GSM3258575,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4434,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258575,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258575/suppl/GSM3258575_Naive_T_102716_ATAC.csv.gz,"GSE116696, GSE116698",0,SRX4345368,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621058,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345368
atac-seq_naïve_rep3,,,,,,,ATAC-seq_Naïve_rep3,GSM3258576,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Naïve,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 5272,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258576,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258576/suppl/GSM3258576_ATAC_Naive_062917_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345369,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621057,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345369
atac-seq_act_5_h_rep1,,,,,,,ATAC-seq_Act.5 h_rep1,GSM3258577,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4195,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258577,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258577/suppl/GSM3258577_E5h_ATAC_083015_3.csv.gz,"GSE116696, GSE116698",0,SRX4345370,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621056,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345370
atac-seq_act_5_h_rep2,,,,,,,ATAC-seq_Act.5 h_rep2,GSM3258578,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4436,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258578,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258578/suppl/GSM3258578_E5h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345371,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621055,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345371
atac-seq_act_5_h_rep3,,,,,,,ATAC-seq_Act.5 h_rep3,GSM3258579,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 5273,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258579,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258579/suppl/GSM3258579_ATAC_Naive_5h_062917_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345372,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621054,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345372
atac-seq_act_24_h_rep1,,,,,,,ATAC-seq_Act.24 h_rep1,GSM3258580,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4197,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258580,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258580/suppl/GSM3258580_E24h_ATAC_083015_3.csv.gz,"GSE116696, GSE116698",0,SRX4345373,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621053,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345373
atac-seq_act_24_h_rep2,,,,,,,ATAC-seq_Act.24 h_rep2,GSM3258581,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4437,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258581,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258581/suppl/GSM3258581_E24h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345374,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621052,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345374
atac-seq_act_24_h_rep3,,,,,,,ATAC-seq_Act.24 h_rep3,GSM3258582,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.24 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 5274,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258582,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258582/suppl/GSM3258582_ATAC_Naive_24h_062917_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345375,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621051,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345375
atac-seq_act_60_h_rep1,,,,,,,ATAC-seq_Act.60 h_rep1,GSM3258583,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.60 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4199,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258583,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258583/suppl/GSM3258583_E60h_ATAC_083015_after_1st_act._3.csv.gz,"GSE116696, GSE116698",0,SRX4345376,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621050,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345376
atac-seq_act_60_h_rep2,,,,,,,ATAC-seq_Act.60 h_rep2,GSM3258584,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.60 h,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4439,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258584,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258584/suppl/GSM3258584_E60h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345377,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621049,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345377
atac-seq_act_5_h_without_cd28_rep1,,,,,,,ATAC-seq_Act.5 h_without_CD28_rep1,GSM3258585,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4196,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258585,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258585/suppl/GSM3258585_A5h_ATAC_083015_2.csv.gz,"GSE116696, GSE116698",0,SRX4345378,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621048,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345378
atac-seq_act_5_h_without_cd28_rep2,,,,,,,ATAC-seq_Act.5 h_without_CD28_rep2,GSM3258586,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4435,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258586,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258586/suppl/GSM3258586_A5h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345379,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621047,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345379
atac-seq_act_24_h_without_cd28_rep1,,,,,,,ATAC-seq_Act.24 h_without_CD28_rep1,GSM3258587,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4198,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258587,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258587/suppl/GSM3258587_A24h_ATAC_083015_3.csv.gz,"GSE116696, GSE116698",0,SRX4345380,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621046,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345380
atac-seq_act_24_h_without_cd28_rep2,,,,,,,ATAC-seq_Act.24 h_without_CD28_rep2,GSM3258588,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.24 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4438,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258588,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258588/suppl/GSM3258588_A24h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345381,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621045,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345381
atac-seq_act_60_h_without_cd28_rep1,,,,,,,ATAC-seq_Act.60 h_without_CD28_rep1,GSM3258589,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.60 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4255,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258589,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258589/suppl/GSM3258589_A60h_ATAC_083015_after_1st_act._3.csv.gz,"GSE116696, GSE116698",0,SRX4345382,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 60 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621017,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345382
atac-seq_act_60_h_without_cd28_rep2,,,,,,,ATAC-seq_Act.60 h_without_CD28_rep2,GSM3258590,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.60 h_without_CD28,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",BioWardrobe ID: 4440,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258590,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258590/suppl/GSM3258590_A60h_ATAC_102716.csv.gz,"GSE116696, GSE116698",0,SRX4345383,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 24 h with anti-CD3 antibody,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621016,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345383
atac-seq_naïve_+_no_protein,,,,,,,ATAC-seq_Naïve + No protein,GSM3258591,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Naïve + No protein,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",Naïve T cells are pulsed without protein by Neon electroporator,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258591,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258591/suppl/GSM3258591_Naive_T_0815717_ATAC_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345384,healthy donor,peripheral blood,primary naive CD4 T cells,No activation,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621099,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345384
atac-seq_act_5_h_+_gfp_rep1,,,,,,,ATAC-seq_Act.5 h + GFP _rep1,GSM3258592,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h + GFP,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",Naïve T cells are pulsed wit GFP protein by Neon electroporator and activated,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258592,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258592/suppl/GSM3258592_ATAC_E5h_GFPProtein_072817_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345385,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621098,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345385
atac-seq_act_5_h_+_gfp_rep2,,,,,,,ATAC-seq_Act.5 h + GFP _rep2,GSM3258593,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h + GFP,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",Naïve T cells are pulsed wit GFP protein by Neon electroporator and activated,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258593,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258593/suppl/GSM3258593_ATAC_E5h_GFPProtein_081517_combined.csv.gz,"GSE116696, GSE116698",0,SRX4345386,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621097,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345386
atac-seq_act_5_h_+_a-fos_rep1,,,,,,,ATAC-seq_Act.5 h + A-FOS _rep1,GSM3258594,Public on Oct 16 2019,Jul 05 2018,Oct 19 2019,SRA,1,ATAC-seq_Act.5 h + A-FOS,Homo sapiens,9606,"Activation was performed with Anti-CD3 and -CD28 beads for  5, 24, and 60h",genomic DNA,"Nucleic DNA was processed with nextera transposome (illumina), and purified according to the protocol in Buenrostro et al (PMID: 24097267)., Libraries were prepared according to  the protocol in Buenrostro et al. Briefly, purified DNA was amplified with P5 and P7 primers in PCR, and 200-400 bp DNA was isolated by Ampure DNA purification beads.",Naïve T cells are pulsed wit A-FOS protein by Neon electroporator and activated,GPL16791,"Artem,,Barski",Allergy,Cincinnati Children's Hospital,3333 Burnet Av,Cincinnati,OH,45229,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,GSM3258594,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3258nnn/GSM3258594/suppl/GSM3258594_ATAC_E5h_A-FOSProtein_072817.csv.gz,"GSE116696, GSE116698",0,SRX4345387,healthy donor,peripheral blood,primary naive CD4 T cells,Act. 5 h with anti-CD3 and -CD28 antibodies,,hg19,List of islands called by MACS2,https://www.ncbi.nlm.nih.gov/biosample/SAMN09621096,https://www.ncbi.nlm.nih.gov/sra?term=SRX4345387
